evaluator_number,evaluator_name,item_key,speaker_id,pair_index,method,preference,source_text_en,target_text_es,general_notes,method_comments,saved_at_unix,translation_accuracy,speaker_persona_match,naturalness,overall
1,,spk=124992|pair=4,124992,4,zero_shot,zero_shot,What's always interested him.,Lo que siempre le ha interesado.,,,1765863051.1918359,3,3,3,3
1,,spk=124992|pair=4,124992,4,fine_tune,fine_tune,What's always interested him.,Lo que siempre le ha interesado.,,,1765863051.1918359,2,2,2,2
1,,spk=1055|pair=0,1055,0,zero_shot,zero_shot,Goes by Crumbs.,Se hace llamar Crumbs.,,,1765908075.957545,2,2,2,2
1,,spk=1055|pair=0,1055,0,fine_tune,fine_tune,Goes by Crumbs.,Se hace llamar Crumbs.,,,1765908075.957545,2,3,2,2
1,,spk=1055|pair=2,1055,2,zero_shot,fine_tune,"Now, before you give us an answer, I want to impress you with three things.","Antes de darnos una respuesta, quiero que sepa tres cosas.",,,1765908098.480053,3,3,3,3
1,,spk=1055|pair=2,1055,2,fine_tune,no_preference,"Now, before you give us an answer, I want to impress you with three things.","Antes de darnos una respuesta, quiero que sepa tres cosas.",,,1765908098.480053,3,3,3,3
1,,spk=1055|pair=3,1055,3,zero_shot,fine_tune,It's almost time for school.,Es casi la hora de ir a la escuela.,,,1765908127.511752,3,3,3,3
1,,spk=1055|pair=3,1055,3,fine_tune,no_preference,It's almost time for school.,Es casi la hora de ir a la escuela.,,,1765908127.511752,3,3,3,3
1,,spk=28165|pair=4,28165,4,zero_shot,no_preference,Don't think you will be able to destroy me that easily.,No creas que puedes acabar conmigo.,,,1765908243.6506581,3,3,3,3
1,,spk=28165|pair=4,28165,4,fine_tune,no_preference,Don't think you will be able to destroy me that easily.,No creas que puedes acabar conmigo.,,,1765908243.6506581,3,3,3,3
1,,spk=124992|pair=0,124992,0,zero_shot,fine_tune,Goes by Crumbs.,Se hace llamar Crumbs.,,,1765908263.572725,3,3,3,3
1,,spk=124992|pair=0,124992,0,fine_tune,no_preference,Goes by Crumbs.,Se hace llamar Crumbs.,,,1765908263.572725,3,3,3,3
1,,spk=124992|pair=2,124992,2,zero_shot,fine_tune,"Now, before you give us an answer, I want to impress you with three things.","Antes de darnos una respuesta, quiero que sepa tres cosas.",,,1765908293.843898,3,3,3,3
1,,spk=124992|pair=2,124992,2,fine_tune,no_preference,"Now, before you give us an answer, I want to impress you with three things.","Antes de darnos una respuesta, quiero que sepa tres cosas.",,,1765908293.843898,3,3,3,3
1,,spk=124992|pair=3,124992,3,zero_shot,fine_tune,It's almost time for school.,Es casi la hora de ir a la escuela.,,,1765908312.1539829,3,3,3,3
1,,spk=124992|pair=3,124992,3,fine_tune,fine_tune,It's almost time for school.,Es casi la hora de ir a la escuela.,,,1765908312.1539829,3,3,3,3
1,,spk=124992|pair=4,124992,4,zero_shot,zero_shot,Don't think you will be able to destroy me that easily.,No creas que puedes acabar conmigo.,,,1765908345.169108,3,3,3,3
1,,spk=124992|pair=4,124992,4,fine_tune,zero_shot,Don't think you will be able to destroy me that easily.,No creas que puedes acabar conmigo.,,,1765908345.169108,2,2,2,1
