English,Spanish,Zero Shot BLEU,Fine Tuned BLEU,Zero Shot Cosine,Fine Tuned Cosine,Zero Shot Transcribed Audio,Fine Tuned Transcribed Audio
"You've done this before, but it's not the same...","Lo has hecho otras veces, pero esto es diferente.",1.0,1.0,0.8985633254051208,0.8938765525817871,"Lo has hecho otras veces, pero esto es diferente.","Lo has hecho otras veces, pero esto es diferente."
"If it helps to have me around, even for a little bit,","Si ayuda tenerme cerca, aunque sea un poco,",0.0,0.2777619034011791,0.8845986723899841,0.8812242746353149,Ciudad de tenor en circa oncien poco.,"Si ayudan a tener un cerca, aunque sea un poco."
Mens wristwatch (2),Dorada (2) Correa,0.0,0.0,0.8975173234939575,0.8922533988952637,"Dorada, Korea.","Dorada, Korea."
"WERACEDSEASONSEVENANDWON, BUT WE'RE GROWING APART.",Nosotros competimos en la temporada 7 y ganamos pero nos hemos distanciados.,0.42846977766678973,0.2658156069371863,0.8900396823883057,0.8958490490913391,nosotros competimos en la temperada y ganamos pero nos hemos distanciados,Nosotros compétimos en la temperada. Aiganemos pero nos hemos distanciados.
I'll be a model school!,Voy a ser una escuela modelo !,0.6431870218238024,0.0,0.889555811882019,0.8784471750259399,Voy a ser una escuela modelo.,"Voy, sir, Onescu, Lomadelo."
"You are wrong, father.","Ud. Esta equivocado, Padre.",0.08034284189446518,0.08034284189446518,0.8839870095252991,0.9007580280303955,"Ad este equivocado, padre,","Un este equivocado, padre."
You should now understand our difficulty,Debe entender nuestra dificultad actual,0.0,0.0,0.891426682472229,0.8957703113555908,Deviantender Nuestra Difficult at Actual,"Dibiantenda Nuestra, Difficulted Actual."
"Now, Dale, listen carefully.","Ahora, Dale, escucha con cuidado.",0.08633400213704504,0.040824829046386304,0.893770694732666,0.8917133212089539,ahora de él escucha con cuidado,a horro de la escucha concuadero
Additional pain management strategies,Otras estrategias de manejo del dolor,0.41113361690051975,0.7598356856515925,0.8917707204818726,0.9049110412597656,Ultras a estrategias de manejo del dólar.,Otras estrategias de manejo del dólar.
This is going to be a very special evening.,Esta va a ser una noche especial.,0.1837868600016897,0.0,0.8905572891235352,0.8916037678718567,Este va a ser linoica especial.,"Este va, sir, an Anoka special."
You checked their backgrounds.,Se revisaron sus antecedentes.,0.3976353643835253,0.16990442448471224,0.8826134204864502,0.8818628787994385,que revisaron sus antecedentes.,y revisar sus antecedentes.
You already said that about the Matisses and the Dufys.,Dijiste lo mismo de los Matisses y los Dufys.,0.10445522730720382,0.2777619034011791,0.8887170553207397,0.8895305395126343,"De just lo mismo de las matices, I lost doofies.","de just lo mismo de los matices, ay los doofis."
"""I'm going to the loo now."" ""OK, Elv, we'll go with you."" Strange","""Tengo que ir a mear."" ""Vamos contigo, Elvis."" Algo muy raro.",0.0,0.0,0.8874972462654114,0.8868860006332397,tengo quaremeir famous contigo elvis algo my raro,tengo quareme air famous contigo elvis although my raro
"David, Segovia (8/2/2014)","David, Segovia (8/2/2014)",0.0,0.09069748827745895,0.8601568937301636,0.8708481788635254,David Segovia.,David Segovia
"Like somehow, by doing my job, I was making the world a better place.",Como si haciendo mi trabajo estuviera mejorando el mundo.,0.14923729480049117,0.14923729480049117,0.8978792428970337,0.8950013518333435,¿Cómo se haciendo mi trabajo? Estuviera mejorando el mundo.,¿Cómo se haciendo mi trabajo? Estuviera mejorando el mundo.
I believe I can bypass the safety circuits.,Creo que puedo puentear los circuitos de seguridad.,0.35640264633541835,0.06311969078225892,0.8866740465164185,0.891608476638794,Prio copiudo puente los circuitos de seguridad.,Creo que es el puente de la circunstancia de seguridad.
Very well. If you say so.,"Muy bien, si Ud. Io dice...",0.04873039689743777,0.04873039689743777,0.8744677901268005,0.8762627243995667,"Mi bien, soy Iodice.","¡Muy bien, suyada! ¡Odice!"
Undertakings by Participants,Compromisos de los participantes,0.3976353643835253,0.3976353643835253,0.8903540372848511,0.8931501507759094,Compromisos de los participantes.,Compromisos de los participantes.
"Well, the law says you have that right.","Bueno, la ley dice que tienes ese derecho.",0.034052233956373766,0.037684991644924185,0.8755663633346558,0.8775319457054138,"Bueno, las leyes, cuotines y es derecho.","Bueno, le dice cuotines y es derecho."
You know what? That was just a fluke.,Eso fue casualidad.,0.5623413251903491,0.5623413251903491,0.8757632970809937,0.8646968007087708,Eso fue casualidad.,Eso fue casualidad.
Average,Average,0.24418719868393177,0.2110846873396573,0.8865738302469254,0.950951412320137,Average,Average
